Sl. No.,Metric Name,Definition,Preferred Direction
439,avg-mAP (0.1-0.5),The average mean average precision of a model with an IoU threshold of 0.1-0.5,Higher
440,avg-mAP (0.1:0.7),The average mean average precision of a model with an IoU threshold of 0.1 to 0.7,Higher
441,avg-mAP (0.3-0.7),Average mean average precision across different intersection over union thresholds between 0.3 and 0.7 for an object detection task.,Higher
442,Avg.,Average,-
443,Avg. Accuracy,A metric used to evaluate the performance of action recognition models,Higher
444,Avg. F1,Average F1 score,Higher 
445,avg. log MAE,A metric used to measure the performance of a regression system .,Lower
446,Avg. nDCG@10,Average normalized Discounted Cumulative Gain at 10,Higher
447,Avg. ROC-AUC,Average ROC-AUC,Higher
448,Avg. Test Rouge1,A metric used to evaluate the performance of text summarization models,Higher
449,Avg. Test RougeLsum,The average test RougeLsum score of a model,Higher
450,B-MPJPE,Bone Mean Per Joint Position Error,Lower
451,B-MVE,B-MVE,-
452,B-NMJE,Bilingual Normalized Modified Jaccard Evaluation,Higher
453,B-NMVE,A metric used to evaluate the performance of video compression models,Lower
454,B1,MSE loss between predicted and ground-truth brightness maps.,Lower
455,B2,B2,Higher 
456,B3,BLEU-3 score is a metric used to evaluate machine translation models.,Higher
457,B4,B4,N/A
458,B77,The percentage of correctly classified B77 images,Higher
459,Backbone,Backbone,N/A
460,Backpack,Top-1 accuracy for backpack classification,Higher 
461,BadPix(0.01),BadPix(0.01),Lower
462,BadPix(0.03),Percentage of bad pixels with threshold 0.03 in an image restoration task.,Lower
463,BadPix(0.07),A metric used to evaluate the performance of image segmentation models,Lower
464,Balanced Accuracy,Balanced Accuracy,Higher
465,Balanced Error Rate,A metric used to evaluate the performance of multi-class classification models,Higher
466,Balanced Multi-Class Accuracy,Balanced Multi-Class Accuracy,Higher
467,Bangs,Bangs,N/A
468,Bare MR^-2,The bare MR^-2 score of a model,Higher
469,Battery,Battery,Higher
470,Beard,Beard,N/A
471,Beat alignment score,A metric used to evaluate the performance of music information retrieval models,Higher
472,Beat DTW cost,A metric used to measure the performance of a music information retrieval system .,Lower
473,BERT,Bidirectional Encoder Representations from Transformers,N/A
474,BertS,Accuracy of the Bert-based sentence classification model,Higher 
475,BertScore,A metric used to evaluate the performance of text generation models,Higher
476,bertscore,A metric used to evaluate the performance of text generation models,Higher
477,BertScoreF1,The F1 score of a model on the BertScore dataset,Higher
478,Best Score,A metric used to measure the performance of a machine learning model .,Higher
479,BEV AP@0.3 Highway,Bird’s Eye View Average Precision at 0.3 on Highway dataset,Higher
480,BEV AP@0.3 Night,A metric used to evaluate the performance of object detection models,Higher
481,BEV AP@0.3 Rain,Bird’s eye view average precision at an intersection over union threshold of 0.3 for rain detection in autonomous driving scenarios.,Higher
482,BEV AP@0.3 Urban,Bird’s eye view average precision at 0.3 IoU for urban scenes.,Higher
483,BG Gap,BG Gap,N/A
484,BG#1-2,BG#1-2 is a metric used to evaluate speech recognition models. It measures how well synthesized speech matches human transcriptions on background noise datasets with SNR levels between 1 and 2 dB.,Higher
485,BG+CoObj Gap,The difference between the background and co-object accuracy,Higher
486,Bias (F/M),Bias in favor of female or male in a given context,None
487,Bias-Conflicting Accuracy,Bias-Conflicting Accuracy,Higher
488,Binary,Binary,N/A
489,Bit per Character (BPC),A metric used to evaluate the performance of language models,Lower
490,Bit rate,Bit rate,Higher
491,Bits per byte,Bits per byte,-
492,Bits per dim,Bits per dimension,Lower
493,bits/dimension,Bits per dimension for a lossy compression task.,Lower
494,Bits/dimension (8-bits),Bits per dimension using 8-bit encoding.,Lower
495,Bleu,Bilingual Evaluation Understudy,Higher
496,BLEU,Bilingual evaluation understudy,Higher 
497,BLEU (C#→Java),The BLEU score of a model on the C#→Java task,Higher
498,BLEU (Java→C#),Bilingual evaluation understudy (Java→C#),Higher 
499,BLEU (medium),Bilingual evaluation understudy (medium),Higher 
500,BLEU (small),BLEU score on small dataset,Higher
501,BLEU (Test set),BLEU score on the test set,Higher
502,BLEU score,Bilingual Evaluation Understudy score for machine translation.,Higher 
503,BLEU Score,BLEU Score is a metric used to evaluate machine translation models. It measures how well generated translations match human translations using n-gram overlap metrics.,Higher
504,BLEU-1,BLEU-1,Higher
505,BLEU-1 (Romantic),BLEU-1 score for romantic text generation,Higher
506,BLEU-2,Bilingual evaluation understudy 2,Higher 
507,BLEU-3,BLEU score with n-gram order of 3 for machine translation evaluation.,Higher
508,BLEU-4,Bilingual evaluation understudy 4,Higher 
509,BLEU-5,A metric used to evaluate the performance of machine translation models,Higher
510,BLEU4,Bilingual Evaluation Understudy 4,Higher
511,BLEURT,BLEU-based language generation evaluation metric that uses human ratings as supervision.,Higher
512,BLEX,Bilingual Lexicon Evaluation,Higher
513,Block-FID,Block FID,Lower
514,Block-FID (Down Extend),Block Fréchet inception distance (down extend),Lower 
515,Block-FID (Left Extend),"Block-FID (Left Extend) is a variant of Fréchet Inception Distance (FID), which is a metric used to evaluate generative models in image synthesis tasks.",Lower
516,Block-FID (Right Extend),A metric used to measure the performance of a generative model .,Lower
517,Block-FID (Up Extend),Fréchet inception distance (FID) for image generation using upsampled latent space representations of the generator,Lower
518,Blur Segmentation Accuracy,A metric used to evaluate the performance of image segmentation models,Higher
519,body,Body,-
520,Books,Accuracy of book genre classification using textual data from book descriptions and reviews.,Higher
521,Boundary F-measure,The boundary F-measure of a model,Higher
522,Bounding Box SOAP,A metric for object detection that measures the similarity between predicted and ground-truth bounding boxes.,Higher
523,Bounding Box SOAP 50,Bounding Box SOAP 50,Higher
524,Bounding Box SOAP 75,Bounding Box SOAP 75,N/A
525,box AP,A metric used to measure the performance of an object detection system .,Higher
526,box AP,Box Average Precision,Higher
527,box APr,The box APr score of a model,Higher
528,BPB,A metric used to measure the performance of a generative model .,Lower
529,bpd,A metric used to evaluate the performance of image compression models,Lower
530,bpd (8-bits),The bits per dimension of an 8-bit image,Lower
531,bpref,Bpref,Higher
532,bpsp,Bits per second per pixel,Higher
533,brier-minFDE (K=6),A metric used to evaluate the performance of object tracking models,Lower
534,BRISQUE,A metric used to evaluate the quality of images,Lower
535,BS=1,BS=1,N/A
536,BS=5,Batch size of 5,N/A
537,BScore,The BScore of a model,Higher
538,BSQ-rate over ERQA,BSQ-rate over ERQA,N/A
539,BSQ-rate over LPIPS,Bit-saving quality (BSQ) rate over Learned Perceptual Image Patch Similarity (LPIPS) for image compression,Higher 
540,BSQ-rate over MS-SSIM,Bitrate Savings over Multi-Scale Structural Similarity Index,Higher
541,BSQ-rate over PSNR,The BSQ-rate over PSNR score of a model,Higher
542,BSQ-rate over Subjective Score,A metric used to evaluate the performance of image quality assessment models,Higher
543,BSQ-rate over VMAF,Bitstream quality rate over video multi-method assessment fusion score for video quality assessment.,-
544,C,C,-
545,C_MSE(1.5),A metric used to evaluate the performance of object tracking models,Lower
546,C.Disp(Left),A metric used to evaluate the performance of object detection models,Higher
547,C.Disp(Right),C.Disp(Right),Lower 
548,CA,CA,-
549,CallHome,The CallHome score of a model,Higher
550,Camera Pitch,A metric used to evaluate the performance of gaze estimation models,Lower
551,Camera Roll,A metric used to measure the performance of a machine learning model .,Higher
552,Carton Gap,Difference in performance between human and machine evaluation on a given task,Lower 
553,Case-sensitive sacreBLEU,A metric used to evaluate the performance of machine translation models,Higher
554,CaseHOLD,Percentage of cases where a model does not make any predictions in a text classification task.,Lower
555,Categorization (ablation),Accuracy of classifying an input into one of the predefined categories,Higher
556,Categorization (test),Accuracy for visual categorization task,Higher 
557,Category,Category,N/A
558,Category iIoU,Category Intersection over Union,Higher
559,Category IoU,Category Intersection over Union,Higher 
560,Category mIoU,A metric used to measure the performance of an object detection system .,Higher
561,Caucasian,The accuracy of a model on the Caucasian detection task,Higher
562,CBAK,A metric used to measure the performance of a machine learning model .,Higher
563,CC,Pearson correlation coefficient between the predicted and ground truth distributions,Higher
564,CCC,Concordance correlation coefficient between predicted and ground-truth values.,Higher
565,CD,Continuous Dice score for medical image segmentation,Higher 
566,CE Top-1,A metric used to measure the performance of a recommendation system .,Higher
567,CE Top-1-norm,A metric used to measure the performance of a recommendation system .,Higher
568,CER,A metric used to evaluate the performance of speech recognition models,Lower
569,CER (%),Character Error Rate in percentage,Lower
570,CF_MSE(1.5),Mean squared error with a threshold of 1.5,Lower
571,Chamfer (cm),"Chamfer distance between predicted and ground truth point clouds in a point cloud segmentation task, measured in centimeters.",Lower
572,Chamfer AP,A metric used to evaluate the performance of object detection models,Higher
573,Chamfer Distance,Measures the distance between two sets of points,Lower 
574,Chamfer Distance L2,Chamfer Distance L2,Lower
575,Character Error Rate (CER),The percentage of characters that are incorrectly recognized,Lower
576,ChrF++,A metric used to measure the performance of a machine translation system .,Higher
577,CIDER,Consensus-based image description evaluation,Higher 
578,CIDEr,Consensus-based image description evaluation rate,Higher 
579,CIFAR-100 W4A4 Top-1 Accuracy,CIFAR-100 W4A4 Top-1 Accuracy is a benchmark dataset for evaluating image classification models on 32x32 color images across 100 classes. The metric measures the percentage of correctly classified samples using a model with weight precision of 4 bits and activation precision of 4 bits.,Higher
580,CIFAR-100 W5A5 Top-1 Accuracy,Top-1 accuracy on the CIFAR-100 dataset using the W5A5 quantization scheme for neural network weights and activations.,Higher
